# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# SCF_C_WL =    Steel Cold Formed C-profile with lips
# SHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SHR_RS=        Steel Hot Rolled Round Section
# SHR_RCT=      Steel Hot Rolled Rectangular 
# SHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Steel Hot Rolled Round Section

# Category,Name,SHR_RS,Diameter
R,R5,SHR_RS,5
R,R8,SHR_RS,8
R,R10,SHR_RS,10
R,R12,SHR_RS,12
R,R14,SHR_RS,14
R,R15,SHR_RS,151
R,R16,SHR_RS,16
R,R18,SHR_RS,18
R,R19,SHR_RS,19
R,R20,SHR_RS,20
R,R22,SHR_RS,22
R,R24,SHR_RS,24
R,R25,SHR_RS,25
R,R27,SHR_RS,27
CHS,CHS168.3x5,SHR_CHS,168.3,5
CHS,CHS168.3x5.6,SHR_CHS,168.3,5.6
CHS,CHS168.3x6.3,SHR_CHS,168.3,6.3
CHS,CHS168.3x7.1,SHR_CHS,168.3,7.1
CHS,CHS168.3x8,SHR_CHS,168.3,8
CHS,CHS168.3x8.8,SHR_CHS,168.3,8.8
CHS,CHS168.3x10,SHR_CHS,168.3,10
CHS,CHS168.3x12.5,SHR_CHS,168.3,12.5
CHS,CHS168.3x14.2,SHR_CHS,168.3,14.2
CHS,CHS168.3x16,SHR_CHS,168.3,16
CHS,CHS168.3x17.5,SHR_CHS,168.3,17.5
CHS,CHS168.3x20,SHR_CHS,168.3,20
CHS,CHS168.3x22.2,SHR_CHS,168.3,22.2
CHS,CHS177.8x5.0,SHR_CHS,177.8,5
CHS,CHS193.7x5.4,SHR_CHS,193.7,5.4
CHS,CHS193.7x5.6,SHR_CHS,193.7,5.6
CHS,CHS193.7x6.3,SHR_CHS,193.7,6.3
CHS,CHS193.7x7.1,SHR_CHS,193.7,7.1
CHS,CHS193.7x8,SHR_CHS,193.7,8
CHS,CHS193.7x8.8,SHR_CHS,193.7,8.8
CHS,CHS193.7x10,SHR_CHS,193.7,10
CHS,CHS193.7x12.5,SHR_CHS,193.7,12.5
CHS,CHS193.7x14.2,SHR_CHS,193.7,14.2
CHS,CHS193.7x16,SHR_CHS,193.7,16
CHS,CHS193.7x17.5,SHR_CHS,193.7,17.5
CHS,CHS193.7x20,SHR_CHS,193.7,20
CHS,CHS193.7x22.2,SHR_CHS,193.7,22.2
CHS,CHS193.7x25,SHR_CHS,193.7,25
CHS,CHS219.1x5.9,SHR_CHS,219.1,5.9
CHS,CHS219.1x6.3,SHR_CHS,219.1,6.3
CHS,CHS219.1x7.1,SHR_CHS,219.1,7.1
CHS,CHS219.1x8,SHR_CHS,219.1,8
CHS,CHS219.1x8.8,SHR_CHS,219.1,8.8
CHS,CHS219.1x10,SHR_CHS,219.1,10
CHS,CHS219.1x12.5,SHR_CHS,219.1,12.5
CHS,CHS219.1x14.2,SHR_CHS,219.1,14.2
CHS,CHS219.1x16,SHR_CHS,219.1,16
CHS,CHS219.1x17.5,SHR_CHS,219.1,17.5
CHS,CHS219.1x20,SHR_CHS,219.1,20
CHS,CHS219.1x22.2,SHR_CHS,219.1,22.2
CHS,CHS219.1x25,SHR_CHS,219.1,25
CHS,CHS219.1x28,SHR_CHS,219.1,28
CHS,CHS219.1x30,SHR_CHS,219.1,30
CHS,CHS244.5x6.3,SHR_CHS,244.5,6.3
CHS,CHS244.5x7.1,SHR_CHS,244.5,7.1
