# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# Generic_RCT=		Generic Rectangle Solid Section
# Generic_L=		Generic L Section
# Generic_T=		Generic T Section
# SteelCF_C=     	Steel Cold Formed C-profile
# SteelCF_C_WL=     Steel Cold Formed C-profile with lips
# SteelCF_L=     	Steel Cold Formed L-profile
# SteelCF_Z=     	Steel Cold Formed Z-profile
# SteelCF_Z_WL=     Steel Cold Formed Z-profile with lips
# SteelHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SteelHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SteelHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SteelHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SteelHR_RS=       Steel Hot Rolled Round Section
# SteelHR_RCT=      Steel Hot Rolled Rectangular 
# SteelHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SteelHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SteelHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Concrete Rectangle Solid Section

# Category,Name,Generic_RCT,Width,Height
Steel Round,R32,SteelHR_RS,32
Steel Round,R35,SteelHR_RS,35
Steel Round,R38,SteelHR_RS,38
Steel Round,R40,SteelHR_RS,40

# Circular Hollow Section

# Category,Name,SteelHR_CHS,Outside diameter,Thickness
Steel CHS,CHS21.3x2.3,SteelHR_CHS,21.3,2.3
Steel CHS,CHS26.9x2.3,SteelHR_CHS,26.9,2.3
Steel CHS,CHS30x2.6,SteelHR_CHS,30,2.6
Steel CHS,CHS31.8x2.6,SteelHR_CHS,31.8,2.6
Steel CHS,CHS33.7x2.6,SteelHR_CHS,33.7,2.6
Steel CHS,CHS33.7x2.9,SteelHR_CHS,33.7,2.9
Steel CHS,CHS33.7x3.2,SteelHR_CHS,33.7,3.2
Steel CHS,CHS33.7x3.6,SteelHR_CHS,33.7,3.6
Steel CHS,CHS33.7x4,SteelHR_CHS,33.7,4
Steel CHS,CHS33.7x4.5,SteelHR_CHS,33.7,4.5
Steel CHS,CHS38x2.6,SteelHR_CHS,38,2.6
Steel CHS,CHS42.4x2.6,SteelHR_CHS,42.4,2.6
Steel CHS,CHS42.4x2.9,SteelHR_CHS,42.4,2.9
Steel CHS,CHS42.4x3.2,SteelHR_CHS,42.4,3.2
Steel CHS,CHS42.4x3.6,SteelHR_CHS,42.4,3.6
Steel CHS,CHS42.4x4,SteelHR_CHS,42.4,4
Steel CHS,CHS42.4x4.5,SteelHR_CHS,42.4,4.5
Steel CHS,CHS42.4x5,SteelHR_CHS,42.4,5
Steel CHS,CHS42.4x5.6,SteelHR_CHS,42.4,5.6
Steel CHS,CHS44.5x2.6,SteelHR_CHS,44.5,2.6
Steel CHS,CHS48.3x2.6,SteelHR_CHS,48.3,2.6
Steel CHS,CHS48.3x2.9,SteelHR_CHS,48.3,2.9
Steel CHS,CHS48.3x3.2,SteelHR_CHS,48.3,3.2
Steel CHS,CHS48.3x3.6,SteelHR_CHS,48.3,3.6
Steel CHS,CHS48.3x4,SteelHR_CHS,48.3,4
Steel CHS,CHS48.3x4.5,SteelHR_CHS,48.3,4.5
Steel CHS,CHS48.3x5,SteelHR_CHS,48.3,5
Steel CHS,CHS48.3x5.6,SteelHR_CHS,48.3,5.6
Steel CHS,CHS48.3x6.3,SteelHR_CHS,48.3,6.3
Steel CHS,CHS51x2.6,SteelHR_CHS,51,2.6
Steel CHS,CHS57x2.9,SteelHR_CHS,57,2.9
Steel CHS,CHS60.3x2.9,SteelHR_CHS,60.3,2.9
Steel CHS,CHS60.3x3.2,SteelHR_CHS,60.3,3.2
Steel CHS,CHS60.3x3.6,SteelHR_CHS,60.3,3.6
Steel CHS,CHS60.3x4,SteelHR_CHS,60.3,4
Steel CHS,CHS60.3x4.5,SteelHR_CHS,60.3,4.5
Steel CHS,CHS60.3x5,SteelHR_CHS,60.3,5
Steel CHS,CHS60.3x5.6,SteelHR_CHS,60.3,5.6
Steel CHS,CHS60.3x6.3,SteelHR_CHS,60.3,6.3
Steel CHS,CHS60.3x7.1,SteelHR_CHS,60.3,7.1
Steel CHS,CHS60.3x8,SteelHR_CHS,60.3,8
Steel CHS,CHS63.5x2.9,SteelHR_CHS,63.5,2.9
Steel CHS,CHS70x2.9,SteelHR_CHS,70,2.9
Steel CHS,CHS76.1x2.9,SteelHR_CHS,76.1,2.9
Steel CHS,CHS76.1x3.2,SteelHR_CHS,76.1,3.2
Steel CHS,CHS76.1x3.6,SteelHR_CHS,76.1,3.6
Steel CHS,CHS76.1x4,SteelHR_CHS,76.1,4
Steel CHS,CHS76.1x4.5,SteelHR_CHS,76.1,4.5
Steel CHS,CHS76.1x5,SteelHR_CHS,76.1,5
Steel CHS,CHS76.1x5.6,SteelHR_CHS,76.1,5.6
Steel CHS,CHS76.1x6.3,SteelHR_CHS,76.1,6.3
Steel CHS,CHS76.1x7.1,SteelHR_CHS,76.1,7.1
Steel CHS,CHS76.1x8,SteelHR_CHS,76.1,8
Steel CHS,CHS76.1x8.8,SteelHR_CHS,76.1,8.8
Steel CHS,CHS76.1x10,SteelHR_CHS,76.1,10
Steel CHS,CHS82.5x3.2,SteelHR_CHS,82.5,3.2
